"Seed","Est","SE","Est.1","SE.1","Est.0","SE.0"
1,-5.49474512325166,1.2581272906223,-4.37209530265251,1.06787927790329,1.12264982059915,0.640784999081353
2,-5.80928372815116,1.15433748514919,-4.68663390755201,0.953311883434272,1.12264982059915,0.640784999081353
3,-5.40460041062153,1.30818218315156,-4.28195059002237,1.13667699169923,1.12264982059915,0.640784999081353
4,-6.15910692404103,1.19776402112896,-5.03645710344188,1.00493430050071,1.12264982059915,0.640784999081353
5,-5.23880193971276,1.07562253775856,-4.1161521191136,0.854073150217663,1.12264982059915,0.640784999081353
6,-6.03195987811448,1.31960977371082,-4.90931005751533,1.14067385763696,1.12264982059915,0.640784999081353
7,-5.59493478845346,1.08325102507566,-4.47228496785431,0.867512632952159,1.12264982059915,0.640784999081353
8,-5.22450017649509,1.23289015157164,-4.10185035589593,1.05249852606915,1.12264982059915,0.640784999081353
9,-5.30139407005546,1.29288188156898,-4.17874424945631,1.12353393549086,1.12264982059915,0.640784999081353
10,-4.38621957497715,1.34730421788222,-3.26356975437799,1.17376873698901,1.12264982059915,0.640784999081353
