"Batch","Eff_Obs","Eff_Exp"
1,1.97474101123496,1.96831198747137
2,1.9961983495696,1.9902680459312
3,1.96778468717154,1.95589917913057
4,1.99772004633516,1.9569804551506
5,1.97482777970888,1.96766988582047
6,1.95265020162011,1.99403193722495
7,1.97586743546062,2.0128911820367
8,1.99843602904245,2.00162983479222
9,2.01128676730963,1.93773883239458
10,1.95632977782756,1.98712129173508
11,1.95757261184347,1.9767751856982
12,2.02588526478873,1.94807704800555
13,1.95137433877312,1.95117374700407
14,2.01781807020477,1.99482853821748
15,1.98491552530057,1.99542072844151
16,1.98225796227488,1.9784474921957
17,1.98383418870742,1.99815956981816
18,1.9638059856316,1.96289506012707
19,1.98664702489544,1.97084482944617
20,1.96092382217485,1.96438395797192
21,1.98120298976728,1.99286237352884
22,1.98729988364025,1.9751231572086
23,1.9974263509867,1.98828948810323
24,1.97461782381744,1.99081970329236
25,1.98942534258871,1.99468088189572
26,1.98508627869833,1.95169771477797
27,2.00208357627166,1.99501731580145
28,1.97760860480797,2.00218213619216
29,1.98012622708225,1.99299004498937
30,2.01261054505764,1.99921043445653
31,1.99698730395476,1.98526542756015
32,2.00427795161131,1.99414730343948
33,1.97190573698861,1.97152747691408
34,1.96405016997018,1.96947936619837
35,2.00796709468409,1.94375949036998
36,1.95674920752166,1.97890535414283
37,1.98294851350913,1.98053122234597
38,1.96888276367634,1.96698280030572
39,1.97165462002872,1.96589958106788
40,1.97413821089691,1.99129630186786
41,1.99052339072197,1.98199919781701
42,1.93956306891743,1.9851441846652
43,1.96209272823016,1.97989884940828
44,1.98607855453284,1.95792749762653
45,1.98574594940711,1.93647514811009
46,1.98180434423049,2.00668475133194
47,1.98101535186667,1.95384834618031
48,1.945488415582,1.99291279310262
49,1.95349878245801,1.96559435523817
50,1.98508677801342,1.97424746140842
51,1.97070013981087,1.99143532556328
52,2.01115905323402,1.99303780594115
53,2.0037923902456,1.98701873203819
54,1.98231373863021,2.00474985731137
55,1.97720016773102,1.9752472305347
56,1.96497438998547,2.01830800280763
57,1.98154464775208,1.95835448394418
58,1.9865159866057,1.95667571203475
59,1.95644991848955,2.00404839233827
60,1.99034953133911,1.98454111843938
61,1.98394615606406,1.973514574033
62,1.9873426855987,1.97918504959895
63,1.97756679233959,1.98946187389
64,1.98282402010656,2.01305630570107
65,2.0122209135605,1.96361606597281
66,1.98383867528842,1.95424349293041
67,1.96514171171413,1.9757169686912
68,1.9244541370257,1.98437622010098
69,2.01349162886033,2.01142681002449
70,2.02465606592656,1.9587205021647
71,2.00036848044183,2.04937121847789
72,1.96258292878048,1.96101386487161
73,1.96810467004412,2.01302488634334
74,1.95764103993442,1.9256326612569
75,1.9741928721663,1.94764202807884
76,2.01381370513853,1.986049299357
77,1.97681632908207,2.01245160515809
78,1.99221136905655,1.9700860702784
79,1.97456123280464,1.99456449597223
80,1.97387173538762,1.97171624340777
81,2.01729276056833,1.96929872354824
82,1.98939439160437,2.00183315806019
83,1.94984880577809,2.0133760069064
84,2.00067314183067,1.98878192773233
85,1.98329695825707,2.01259391351427
86,1.98699656134077,1.96514034777747
87,1.9456266960438,1.9624164598461
88,1.97940862215151,1.96141708547246
89,1.96214364784063,1.9796626778543
90,1.97613063381907,1.99595956842258
91,1.9982904351442,1.97387891764035
92,1.9733876831227,2.0042570943786
93,1.96543743047944,1.95751863841371
94,1.97995315086185,1.99984196421826
95,1.97977996943431,1.99598858880579
96,1.96454296327591,1.99521215058678
97,1.97768712406456,1.97754543358643
98,2.01281554683538,1.98546090672362
99,1.98858587154546,1.98961224093751
100,2.00774221386217,1.9890602292111
101,1.98792642151352,1.99823648954831
102,1.95870249559348,1.97548908912436
103,1.96987801783061,1.9997063419062
104,1.96038823605808,1.98778675474965
105,1.96483560203513,1.96818545424293
106,1.97867167206577,1.990250670136
107,1.99785977479601,1.98179261433278
108,1.9749147645694,2.00570054648909
109,2.00600925737696,1.99590227211575
110,1.99961287172485,2.01829982821715
111,1.95891151064957,1.99505619388128
112,1.98305431293269,1.9564967083927
113,2.01719182001839,1.96955118919277
114,2.01106310699882,1.97689400067912
115,1.99090306982235,2.03389812297493
116,1.96655155143024,1.98880851297923
117,2.03238865798362,1.99871610717429
118,2.00577804674664,1.97111794625896
119,1.99157951802616,1.98862147936509
120,2.02398977635984,1.94120876265575
121,2.00394175854051,1.96143596128843
122,1.98898050350096,1.97378618188819
123,2.00577002338357,1.96814685484781
124,1.98818682115498,1.98347965752378
125,1.96276691979708,1.99348746260343
126,1.98743888631094,1.98029718555301
127,1.97914005537127,2.01942459959958
128,1.97344636461748,1.99962306510662
129,1.97796385491735,1.99179702695133
130,1.97564863094878,1.96463987925253
131,2.01025289347673,1.98662705638255
132,1.93978341764971,2.02030452060257
133,1.9768532295687,2.02038778924381
134,1.94896807044328,1.98548444791526
135,1.97310344571176,1.96758347115387
136,1.96977513173216,2.01625649237982
137,1.98177369516596,1.97694979094376
138,1.9996942839405,1.98211442443107
139,2.00567593747937,1.94541965509678
140,1.96909116198556,1.95033083892372
141,2.00987882445285,2.00498858821918
142,1.9723688200095,1.9667130356041
143,1.99017750842189,1.97694342964563
144,1.97863201590263,2.01162657385619
145,1.97465079728566,2.00308400267665
146,1.9795675884779,1.99007916207047
147,1.961251207786,1.95815930093065
148,1.99284950335806,2.00443085384468
149,1.9864771532939,1.97264213402798
150,1.96646518659286,2.00481996042455
151,1.98252685169813,1.99250197983938
152,1.98844159832184,2.03284327554133
153,1.9666696646157,1.98326982006896
154,1.99918388509107,1.95996088429853
155,2.00671395636374,2.00114074432571
156,1.97552008087602,1.96399107681063
157,2.00711915318998,1.95785865589428
158,1.9816362245374,2.03142271960331
159,1.98388992569512,1.98258640272803
160,1.99575765542951,1.98606478670746
161,1.98864570262468,2.00561358233192
162,1.97229498086357,2.02055684402853
163,1.95552793508559,1.97376220375261
164,1.99043692893732,2.02255419956452
165,1.96147993064299,1.95781126088368
166,1.98007713833187,1.98067682438947
167,1.96315797235709,2.00308702911285
168,2.00230551482945,1.97049117601258
169,1.98167195507635,1.96104341052272
170,1.97259332887601,1.99128011655687
171,2.00287182731814,1.98838773629191
172,2.01611419814464,1.94814933114808
173,1.97175073962835,1.95663859003876
174,2.01409896431211,1.99655779495312
175,1.9935009992712,1.98863843852103
176,2.0126587760192,1.99210692493841
177,1.99573867131561,1.95646597859851
178,1.94396634151273,2.02944113247657
179,1.98341067406115,1.96580546219156
180,1.94758360424652,1.98786631035909
181,1.95669475416388,1.95631012210743
182,1.95704240808392,1.99841981262649
183,1.99631058795519,1.99261311809854
184,1.99400250875384,1.97005422443748
185,1.98361447289346,1.9950128183034
186,1.96900956255721,1.93983738964972
187,1.94513821586121,2.01316247776716
188,1.99936100701117,1.96157584480876
189,2.00315027550973,1.9548838348809
190,1.96594162082122,1.98071748777288
191,2.00669661474188,1.98629919489463
192,1.95981161388923,1.97530929484142
193,1.97210405379415,1.97927042308218
194,2.02083217704866,2.00314292070926
195,1.96633589117763,1.94577726428365
196,2.01458089008227,1.96401593249763
197,2.00806213849158,1.95583427794457
198,2.00564262878639,1.9909215123828
199,2.01306122780151,1.97852742041434
200,1.99502820974386,1.94330194431829
201,1.98585076752204,1.99386876120975
202,1.97621558657435,1.99342917853849
203,2.00101282537574,1.99003143635325
204,1.99870232108545,1.96929235138221
205,1.97551476274809,1.96322969020452
206,1.98620812067261,1.9868763889563
207,2.00586113854515,1.95625479128959
208,1.96698724574809,1.99439328040376
209,2.00491391735725,1.98211817284542
210,1.97368127163461,1.97359263067146
211,2.02125761714463,1.95566106992287
212,1.97450691674888,1.98310104094853
213,1.97971950507121,2.00380400043048
214,1.96441827019232,2.00245606549191
215,1.98682910964724,1.97914771603958
216,1.95188546670609,2.02021270612793
217,1.96960845623925,1.98192172835692
218,1.98283149493705,1.98600449520273
219,2.01688706515397,2.00967051811073
220,1.96614690786756,1.96774654192185
221,1.99127091698197,1.96950891925564
222,1.96868994690146,1.97954711668665
223,2.01667538394159,1.95798957222126
224,1.99804775004411,1.95223774942651
225,1.97674227253054,1.94417313683725
226,1.97588022656685,1.96799997182041
227,1.949641346795,1.96882582044162
228,2.00403635537953,1.97619003489453
229,1.97618524555239,1.98923377606997
230,1.99077567041742,2.01684551617642
231,1.99356959941237,1.97734045360506
232,1.97892365783985,1.96291874050686
233,1.99028790316399,1.99683295734134
234,1.96587958969138,2.00951933407224
235,1.9628699934094,1.98857903626585
236,2.00114190162628,1.98348850848391
237,1.98500564206368,1.97714753148418
238,1.99352695130618,1.97941955946592
239,1.9607980031014,1.97813004054664
240,2.00206094453313,1.95410028058227
241,1.96336216115001,1.99435939074253
242,2.01380187401319,1.97811983517259
243,1.9944287487682,1.97836875998263
244,1.95917256058957,1.96893999207505
245,1.99803544101971,1.98039150672497
246,1.98147657875374,1.98117464240502
247,1.98735000463806,1.93906229666547
248,1.94561459645264,1.97252091983325
249,1.95517334431172,2.02161814000178
250,1.97735262478631,1.99053087726779
251,1.98510036055013,1.96080307371071
252,2.0026638280659,1.96297083983212
253,1.98886737852999,1.97430036938517
254,1.99935597360118,1.95097579788413
255,1.97061953298727,1.99387946319598
256,1.97945898735122,1.98366592647298
257,1.96250230061207,1.99655438020178
258,1.98618527660194,1.96175520825053
259,1.99247629292239,1.97281923070476
260,1.96987512186689,1.97104880697933
261,1.99859430477804,1.98952823041732
262,1.99697112410255,1.97878784513674
263,1.98835547925992,1.9596155777294
264,1.97958637837161,1.96570951957391
265,1.9928523536028,1.9947123630973
266,1.99649408876183,1.96474939404211
267,2.00186721917053,1.95539632323616
268,1.99383320020019,1.98603890672188
269,1.96826550881105,1.9504678685113
270,2.02994174435148,1.96383731011164
271,1.99910633472239,1.97566386788454
272,1.97082044846682,2.02966184598921
273,2.01036092538383,1.9565160793304
274,1.98060152166393,1.97387967146023
275,1.96356635261967,1.98454844042989
276,1.96801166985348,1.97380163942228
277,1.97199643845978,2.0020680998273
278,1.97562909179364,2.00306171744862
279,1.97661224813846,1.99725279521225
280,1.9749937542419,1.96106718171856
281,1.96941455513828,2.01478560953372
282,1.97659460733063,1.96847266895353
283,1.98519032228673,1.9837566552763
284,1.95842035928028,1.94463251153459
285,1.92131254733228,1.98400459842607
286,2.00253727993976,1.98832082141822
287,2.00592000354869,1.9627600369809
288,1.96337171344119,1.97868651292431
289,1.99731529259095,1.94929054652066
290,2.01920228414876,1.98596076937141
291,1.9749559757443,1.98921604407475
292,1.97985033343191,1.9940653889739
293,1.96181855848215,1.9910097489968
294,1.99392838406538,1.98312287340193
295,1.99754977180338,1.94752815431314
296,2.00467728694665,1.92501254706207
297,1.97346219283221,2.00034317041574
298,1.95771635389601,1.95755851839866
299,1.97416785645594,1.98125277804723
300,1.99804809584537,2.00978585067879
301,1.98691220081653,1.98853231391431
302,2.00264320183526,1.98297307555009
303,1.99830830900588,1.96740647735162
304,1.97606663905923,1.9781391469388
305,1.97287315885175,1.99007979022992
306,1.98017745305334,1.98448370511044
307,1.98104618190374,2.00422660674568
308,1.96297050584355,2.00925887175255
309,2.01735801213836,2.0250597356435
310,1.99456724240627,1.9726547541723
311,1.97733663877926,1.9912411517418
312,1.973303103854,1.9952885853758
313,1.99310399029036,1.97076301408742
314,1.99662420208982,1.98337530776425
315,1.96953984369184,1.99501405370298
316,1.98834588252945,1.96044596571801
317,1.96321118969672,1.9569511700136
318,1.9837418986816,1.95969427320564
319,2.00739631226374,1.97899573772257
320,1.99505364618601,2.01450044826737
321,1.98564856488662,1.94009114573775
322,1.97826329743568,1.97501822680027
323,1.9957588342443,1.96406245227535
324,1.92574284213202,1.98534034599627
325,1.97445540883302,1.98749159254059
326,1.96866497305843,1.97353615563397
327,2.00964578897992,1.98096503097099
328,1.92482719588892,1.99373706815245
329,1.99137002964896,1.97585452306874
330,1.97598951805408,1.95620686468899
331,1.94993754700319,1.94764069903843
332,1.99008059539375,1.97973989548551
333,2.02259723879648,2.01422464505135
334,1.98660737350329,1.91730291890125
335,1.95496339925893,1.99402033374085
336,1.9671530080596,1.98359883025941
337,1.97658137396548,1.98477968778189
338,1.98403229297039,1.9747757629369
339,1.970593466002,1.98515716697675
