Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
2.299506505,0.407158976,0.407513246,2.493308709,1.159594935,0.58,2.219179476,0.321942103,0.318581343,2.446719031,1.159594935,0.58,1.552118093,5.924170233,2.091349287,0.050648914
2.621225516,0.664207011,0.661123189,3.154962468,1.424953628,0.66,1.939588393,0.265702479,0.269612558,2.705081967,1.424953628,0.66,1.400417505,7.201668708,2.069800325,0.050827846
2.050877011,0.441647732,0.445092165,2.616593679,1.334795547,0.625,1.59912388,0.260344967,0.260261237,2.334247972,1.334795547,0.625,1.739163774,2.588578327,2.044862038,0.050271883
2.219578082,0.558558685,0.553245563,2.432687995,1.200822159,0.555,1.952959718,0.307386941,0.306538077,2.284714803,1.200822159,0.555,1.416690282,5.124444571,2.034554446,0.050274699
1.875605618,0.390228864,0.394965169,2.329722906,1.251249676,0.575,1.991838306,0.298961606,0.299683476,2.396556702,1.251249676,0.575,1.218083767,4.894823181,2.04034627,0.052406465
1.891966752,0.401447077,0.404127127,2.386829978,1.242190093,0.605,2.16279166,0.305810653,0.305900101,2.550679048,1.242190093,0.605,1.16539907,5.61995855,2.055523562,0.053190197
2.253107941,0.349610628,0.344907638,2.377641176,1.10463519,0.565,2.572768227,0.346809306,0.346173156,2.558249238,1.10463519,0.565,0.968642935,4.361998347,2.091508735,0.050950085
1.282901427,0.392424607,0.392756295,2.187076398,1.404506528,0.61,1.758552586,0.280107129,0.279871081,2.477223605,1.404506528,0.61,0.778851447,5.880224376,2.00441169,0.046904254
2.69205108,0.513423282,0.51132758,2.895628342,1.240016928,0.615,2.279577286,0.30851838,0.311479631,2.641956959,1.240016928,0.615,1.360679221,6.942753627,2.114113067,0.054303095
1.728227335,0.35003835,0.350862972,2.253611681,1.24259869,0.585,1.806003992,0.305980704,0.301991838,2.299111025,1.24259869,0.585,1.315946989,4.817449333,2.037339782,0.051297149
1.726374156,0.416139927,0.413131351,2.09568577,1.059861276,0.6,2.118014596,0.285576806,0.286714301,2.330670034,1.059861276,0.6,1.454293644,4.022248165,1.934041094,0.04935685
