Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.h01.PMMR,SE.h00.PMMR,SE.h2.PMMR,SE.q0.PMMR,SE.q11.PMMR,SE.h11.True,SE.h01.True,SE.h00.True,SE.h2.True,SE.q0.True,SE.q11.True
2.05888882,0.193400188,0.191815696,2.374833482,1.150896778,0.59446469,2.007191883,0.142037822,0.142401529,2.352259054,1.172388547,0.587821482,1.414171388,0.910959849,0.702891774,0.140871546,1.282557326,5.519901102,2.024809634,1.682287092,1.782802481,0.110734047,0.281700197,0.223316616
2.125251253,0.30044176,0.302956349,2.518123956,1.215612355,0.612874172,2.236875686,0.151688023,0.152938497,2.360715988,1.099484292,0.563836294,1.364945499,2.045720699,1.263273969,0.43206281,2.413110715,7.580347239,2.006198912,1.703806027,1.810674505,0.110332941,0.272399928,0.218954348
2.174008497,0.351645613,0.351815356,2.595268638,1.265847301,0.611506965,1.978344562,0.154936004,0.155666683,2.313890934,1.171599208,0.577397764,1.222300784,2.514160397,1.286565093,0.355532267,2.970024706,7.684793798,2.026922488,1.727070159,1.840176603,0.111732036,0.279576871,0.227138886
2.117838851,0.23770446,0.238132958,2.487805979,1.185245607,0.61504225,2.056539534,0.139374339,0.138108355,2.565808635,1.298951167,0.616014157,0.895474076,1.632358195,1.652072716,0.383087369,3.806393783,6.128394071,2.035040843,1.694253504,1.792104859,0.111321798,0.278294446,0.225240861
1.348444316,0.293820281,0.29203083,2.127114848,1.364564407,0.565503841,1.831644824,0.147686505,0.14727863,2.245769475,1.191423479,0.575627972,1.098641936,2.308984382,1.623219812,0.549450002,1.892421345,8.355063462,2.069379975,1.728991753,1.838959021,0.112612883,0.281267358,0.227722139
2.005516006,0.450187119,0.450628774,2.379076903,1.197127771,0.589349139,1.952501141,0.138826026,0.139240331,2.422832642,1.247313608,0.602058052,1.143809936,2.156817782,1.619151496,0.521741065,5.69015904,9.257167535,2.066235893,1.773193445,1.890012601,0.114009339,0.26980544,0.211506281
1.637012997,0.282064238,0.285323866,2.473187814,1.358781797,0.680755754,2.198925011,0.136791865,0.138052923,2.651821055,1.281444476,0.623202961,0.72930576,2.052219314,0.963929514,0.474069571,4.052419241,6.010688912,2.056167999,1.745396394,1.85578605,0.113243332,0.278263978,0.221741904
1.78815508,0.382141617,0.384279559,1.943044705,1.080916482,0.482132804,2.125637701,0.141938262,0.14129197,2.551919206,1.271485671,0.602376188,1.605383733,2.682817701,1.561183649,0.540462416,3.087556311,5.572028506,1.986675327,1.690620592,1.797638145,0.10998187,0.283458599,0.227460236
1.374487806,0.480091957,0.48083758,1.91147159,1.249150897,0.481867274,2.028683683,0.130752466,0.131914828,2.598434309,1.33217059,0.624179969,1.167899355,2.30396131,1.542289415,0.473112973,4.192839469,9.470335235,2.054496726,1.75436376,1.862159098,0.113818144,0.268302485,0.215252563
1.874258728,0.384598945,0.384446669,2.277532647,1.165463673,0.593338026,2.095072099,0.135887176,0.135540985,2.52143318,1.214474899,0.623824966,1.34353448,2.272578235,1.4823487,0.478873051,1.96557471,7.261129636,1.989897619,1.714060422,1.824511593,0.11065947,0.269502706,0.221306093
