"N","MSE.h11","MSE.h01","MSE.h00","MSE.h2","MSE.q0","MSE.q11"
12800,0.00284304,0.003858687,0.001722739,0.001399172,0.005200796,0.040542903
12800,0.003906307,0.003855443,0.001176152,0.000666933,0.006146304,0.024222759
12800,0.004008819,0.003664103,0.002255523,0.000503287,0.003626458,0.044040278
12800,0.002880213,0.001939219,0.001658568,0.000638824,0.004808861,0.271745237
12800,0.000729141,0.002262971,0.002262694,0.000336229,0.003337135,0.018925483
12800,0.006328513,0.002065263,0.001746217,0.000356087,0.005440092,0.013645343
12800,0.059287707,0.003123053,0.001721839,0.000472849,0.003759671,0.017099856
12800,0.001236279,0.002019936,0.001101112,0.000915746,0.002796957,0.007827807
12800,0.002360715,0.003542123,0.001540167,0.000806877,0.002072893,0.024527587
12800,0.005060562,0.004196837,0.001300424,0.000629624,0.001989166,0.049940139
12800,0.005617389,0.006582499,0.002045395,0.000602827,0.004336956,0.036266486
12800,0.004682088,0.001890074,0.001362594,0.000572364,0.006835224,0.032682198
12800,0.003442737,0.002770341,0.002268613,0.000351656,0.003723825,0.064035034
12800,0.001551117,0.001878846,0.001685544,0.000397556,0.002870928,0.035014294
12800,0.003900312,0.001974477,0.003015192,0.000388555,0.007658588,0.019222727
12800,0.006088364,0.004861723,0.001731906,0.00069612,0.009584752,0.046940998
12800,0.000940967,0.003856085,0.002993753,0.001226366,0.001825009,0.07720967
12800,0.003129168,0.002307509,0.002013739,0.000167608,0.003388933,0.045468714
12800,0.007188098,0.004605198,0.001629607,0.000574485,0.005782831,0.088031132
12800,0.004636941,0.001976324,0.003116303,0.000721832,0.004120273,0.017068438
12800,0.002548671,0.002577295,0.001321559,0.001145892,0.014881276,0.056148394
12800,0.007810615,0.003014573,0.001663414,0.001101297,0.002973745,0.033991654
12800,0.002533836,0.003092861,0.002375092,0.000721464,0.003159822,0.065185629
12800,0.004097936,0.002091974,0.002226281,0.000251458,0.003358445,0.011342928
12800,0.00125422,0.002573411,0.002691653,0.000672224,0.002052118,0.019108186
12800,0.004139605,0.004016094,0.002118576,0.000505798,0.001801259,0.046621053
12800,0.003248483,0.001500253,0.002385157,0.000304188,0.007512377,0.023837546
12800,0.001066126,0.002698131,0.002560706,0.000279653,0.0069091,0.00977041
12800,0.004101832,0.001843179,0.002045706,0.000203634,0.003865338,0.162602453
12800,0.003505145,0.003206405,0.001009737,0.000626608,0.00748491,0.088168688
12800,0.001317809,0.003382642,0.001978454,0.001413702,0.005526555,0.023773508
12800,0.002900253,0.002636947,0.001080227,0.000364561,0.003365793,0.017044041
12800,0.003842173,0.004814069,0.001551338,0.001412469,0.00230364,0.03896026
12800,0.001246683,0.003037853,0.001634866,0.00092654,0.00383776,0.061369863
12800,0.004991939,0.002332269,0.001945127,0.000515806,0.006576092,0.07881424
12800,0.001196944,0.00152392,0.002081956,0.000145082,0.011076709,0.031623262
12800,0.003270613,0.004926934,0.003234132,0.000632915,0.004230867,0.020220635
12800,0.001890011,0.001440057,0.002697892,0.000606869,0.005326937,0.00997223
12800,0.002171844,0.002124118,0.0011611,0.000209473,0.009708171,0.010707638
12800,0.003067508,0.002256873,0.002506357,0.000264109,0.007554824,0.047489264
12800,0.003314285,0.003820028,0.001806701,0.000616696,0.006825344,0.063568893
12800,0.003049024,0.002088149,0.002225863,0.000431559,0.007829276,0.019766769
12800,0.00082691,0.002737221,0.002453608,0.000748226,0.003567841,0.069660203
12800,0.002620482,0.002233648,0.00213938,0.000247604,0.001505584,0.030165643
12800,0.003865935,0.001999063,0.001796167,0.000246661,0.011707817,0.026495583
12800,0.001506325,0.001727321,0.002667522,0.000732777,0.003293001,0.013387414
12800,0.004707537,0.002919912,0.001921503,0.000516241,0.006342579,0.015622219
12800,0.00317754,0.001618471,0.001779885,0.00056037,0.002551734,0.013890136
12800,0.003219056,0.001374412,0.001190754,0.000533099,0.004786537,0.080978881
12800,0.002983146,0.002435638,0.001942818,0.000268033,0.004124743,0.027808309
12800,0.000245194,0.001166067,0.001441193,0.000150725,0.005103225,0.018929335
12800,0.003093296,0.002022964,0.001240452,0.000618886,0.003253362,0.007220726
12800,0.003952977,0.005062931,0.001931841,0.000804235,0.002903956,0.049777757
12800,0.001043485,0.002939182,0.001619921,0.00024561,0.004407684,0.0265983
12800,0.005774286,0.002392693,0.002402231,0.000274476,0.002191322,0.007472619
12800,0.006299571,0.002219768,0.00158845,0.001287465,0.002223636,0.019366341
12800,0.003135503,0.002388393,0.002332861,0.001691747,0.004764606,0.060293368
12800,0.001011507,0.002085875,0.001171805,0.00087193,0.002113071,0.037143508
12800,0.004206693,0.00398018,0.002081176,0.000393821,0.003499518,0.035595553
12800,0.000665005,0.001811797,0.001851987,0.000269171,0.001299859,0.006775491
12800,0.002682208,0.002968409,0.001932272,0.000616442,0.005503419,0.026439566
12800,0.003176874,0.002355587,0.002792108,0.000565651,0.018425318,0.067058442
12800,0.001259447,0.002033959,0.001447544,0.000377326,0.005040821,0.011152612
12800,0.001158625,0.00146338,0.00127039,0.000805524,0.00295356,0.029304813
12800,0.003858257,0.003530627,0.001836473,0.000655898,0.00591012,0.019445457
12800,0.006376353,0.004287702,0.002460947,0.001138575,0.008921655,0.064669629
12800,0.001386908,0.001972129,0.002454941,0.000283892,0.005762401,0.093093246
12800,0.001251703,0.002801049,0.001483102,0.000366838,0.003590137,0.052081461
12800,0.001636943,0.006007539,0.002612196,0.001416917,0.006112234,0.089012654
12800,0.002933702,0.001787767,0.001653852,0.000701271,0.003465949,0.023965033
12800,0.003290722,0.002457219,0.001643301,0.000145067,0.002891578,0.02193713
12800,0.003329699,0.006256845,0.003184489,0.000831961,0.00802192,0.030712871
12800,0.000678377,0.002543231,0.001955738,0.000864918,0.011717853,0.043836269
12800,0.002469088,0.002806528,0.002325723,0.000202355,0.000930335,0.083893397
12800,0.003695203,0.002298577,0.00187563,0.000471628,0.009468703,0.060903042
12800,0.003587018,0.003398639,0.002042384,0.000917666,0.007800117,0.014033693
12800,0.003537778,0.001506108,0.001884512,0.000370787,0.004359443,0.018428227
12800,0.000866056,0.003484659,0.001337823,0.00113726,0.004922242,0.035506013
12800,0.004481093,0.002615951,0.002478482,0.000848163,0.006264411,0.01812039
12800,0.000509554,0.002719571,0.002477871,0.000352861,0.004751419,0.028067467
12800,0.001062389,0.002537865,0.003105815,0.000686171,0.006686557,0.025113448
12800,0.008830089,0.001804978,0.001402189,0.000521158,0.002265714,0.046033868
12800,0.00262505,0.0032248,0.001162356,0.001043401,0.004035701,0.034418633
12800,0.003247338,0.00200297,0.001522814,0.00055684,0.002672524,0.029747356
12800,0.003483544,0.003203652,0.00134067,0.001564451,0.01945218,0.04900394
12800,0.001535594,0.001802344,0.001108027,0.001220617,0.008806926,0.015413904
12800,0.006211285,0.00363292,0.002112514,0.000788928,0.002632815,0.106999581
12800,0.002127157,0.003096143,0.00132674,0.000459779,0.002161172,0.009988049
12800,0.006997385,0.001974008,0.003161718,0.000471804,0.003527877,0.07623688
12800,0.003585683,0.001405902,0.001165624,0.000151556,0.006523569,0.010937792
12800,0.003150249,0.005758477,0.002371276,0.000364226,0.004711243,0.009343129
12800,0.001413918,0.00217948,0.001094493,0.000944526,0.004445849,0.018629931
12800,0.004164271,0.001978997,0.001764004,0.000276886,0.001393479,0.017750779
12800,0.001932491,0.003252659,0.002477531,0.001184539,0.004870011,0.062801809
12800,0.003802716,0.001338349,0.001786609,0.000443372,0.005935696,0.012495623
12800,0.005978295,0.002526391,0.002972839,0.000611813,0.009556769,0.200441155
12800,0.003624645,0.002239732,0.001850894,0.000338048,0.003834726,0.007068491
12800,0.001451689,0.001509739,0.002120907,0.00051382,0.00325481,0.025523126
12800,0.002123848,0.002848224,0.001758016,0.000640937,0.004886533,0.125183468
12800,0.002501054,0.002134805,0.001003265,0.000767985,0.00707096,0.031030459
12800,0.004417819,0.002519712,0.002009642,0.000900279,0.007436962,0.038053772
12800,0.001365257,0.003232345,0.003537059,0.000343145,0.003280973,0.048708545
12800,0.002563666,0.00169936,0.00186266,0.000160469,0.004492737,0.017710705
12800,0.00263656,0.00243021,0.001759092,9.26e-05,0.000603775,0.032347008
12800,0.004861548,0.001397627,0.001635171,0.000257899,0.00350241,0.013486918
12800,0.001221642,0.003021407,0.002500383,0.001401209,0.004254479,0.039670056
12800,0.001225602,0.003073665,0.002966232,0.000343469,0.001332064,0.014904212
12800,0.001356856,0.003662868,0.002350676,0.000837421,0.005201415,0.10337695
12800,0.001386907,0.002402341,0.001138358,0.000254828,0.002310956,0.055849194
12800,0.003191351,0.002675207,0.002081371,0.000468605,0.005276752,0.058871425
12800,0.003078821,0.003748207,0.001141544,0.00114737,0.002398144,0.037042363
12800,0.001018216,0.001521299,0.001613674,0.00016896,0.010362672,0.013974316
12800,0.005611186,0.001559591,0.002142701,0.000127194,0.005368873,0.055768091
12800,0.003759017,0.002971812,0.002052134,0.000422977,0.001747494,0.028600076
12800,0.000566625,0.002084525,0.001969899,0.000828346,0.001689321,0.049087604
12800,0.00068028,0.001943318,0.001401121,0.000424311,0.002623743,0.045619659
12800,0.003325244,0.001522015,0.00200317,0.001410477,0.005922981,0.074491803
12800,0.003838695,0.00239641,0.001162246,0.000420643,0.006823258,0.253932384
12800,0.002953411,0.00193046,0.000964468,0.001020541,0.005911633,0.022828148
12800,0.001850343,0.002282793,0.001358005,0.000200618,0.00081252,0.021618346
12800,0.003745505,0.002638374,0.001406479,0.000202813,0.005676576,0.036499569
12800,0.002771263,0.001987604,0.001195048,0.00027172,0.001977255,0.013058817
12800,0.005168247,0.005628968,0.001326542,0.0009319,0.006631947,0.091712729
12800,0.001711685,0.004228963,0.002196699,0.000936028,0.006356646,0.088113269
12800,0.002169728,0.00336401,0.001713761,0.001071136,0.004276176,0.092490979
12800,0.001001012,0.002181794,0.003197668,0.000183874,0.000806895,0.018561833
12800,0.004724155,0.003126159,0.002300472,0.000844273,0.002960568,0.024887526
12800,0.005261351,0.006216951,0.002208134,0.000267542,0.005309074,0.074318346
12800,0.001298615,0.003023179,0.001441404,0.000719474,0.004047203,0.055893102
12800,0.002002298,0.002649819,0.001898457,0.000408056,0.004917108,0.038935243
12800,0.004336836,0.002054554,0.001766555,0.000507062,0.007311184,0.034201428
12800,0.003469374,0.001868142,0.002169826,0.000421378,0.003980899,0.01694302
12800,0.002006365,0.00298841,0.001999239,0.000526346,0.004405463,0.106371546
12800,0.004277582,0.001695942,0.001517779,0.000821678,0.003193088,0.02771202
12800,0.002864542,0.00123737,0.001489156,0.000401472,0.003105856,0.018744068
12800,0.004167211,0.002202037,0.002358577,0.000678323,0.004001005,0.06503457
12800,0.002512115,0.001065874,0.000841816,0.000153629,0.001149099,0.008095347
12800,0.001627064,0.002470066,0.001802664,0.000486264,0.003130617,0.019636564
12800,0.001107316,0.002752763,0.002102589,0.00028423,0.010079549,0.045927818
12800,0.007060948,0.002631826,0.003257034,0.000624406,0.011051886,0.039976984
12800,0.002038189,0.00425924,0.002658126,0.000676124,0.00256939,0.069628323
12800,0.003442736,0.001927015,0.002223446,0.000257673,0.006103341,0.012056611
12800,0.002392877,0.002565581,0.001259136,0.000534293,0.004710641,0.05473452
12800,0.001738258,0.002431501,0.001921722,0.000250613,0.00833284,0.020210327
12800,0.003773814,0.004042003,0.002261147,0.000348091,0.002058706,0.048469593
12800,0.003213093,0.00225477,0.001984224,0.000695842,0.012219493,0.066149057
12800,0.004741095,0.003040327,0.001563901,0.000561652,0.008259371,0.055975991
12800,0.002028443,0.002854451,0.001611406,0.000575868,0.003325327,0.016139457
12800,0.006452643,0.002891223,0.002518877,0.000458467,0.012128485,0.039452569
12800,0.002888887,0.003429447,0.002165287,0.001055446,0.003748462,0.02872463
12800,0.002394689,0.003337366,0.002359552,0.000292867,0.009079837,0.031031006
12800,0.003803057,0.00243542,0.002943207,0.000724231,0.010154323,0.038222301
