"Est","SE","SE.B"
1.965991583,0.091292092,0.091622984
2.071327743,0.081929076,0.081733241
1.901186164,0.086310793,0.086571592
2.162437111,0.086896907,0.087084387
1.928667962,0.090388561,0.091647342
1.926898925,0.086492842,0.086019853
1.975978418,0.087945358,0.088339057
2.163086547,0.085886597,0.085236981
2.178379622,0.088066385,0.088667895
2.065456069,0.083512067,0.083246959
2.029369129,0.084444432,0.084676169
1.865640859,0.08793427,0.087826421
1.976664562,0.089357402,0.088821214
1.998437662,0.087785104,0.087841235
2.148321077,0.083971766,0.084122
1.926712358,0.088249413,0.088812584
2.052141134,0.087413398,0.086997613
1.831534166,0.08711267,0.087481702
2.130733156,0.085646491,0.083768269
1.827788694,0.084261484,0.084264698
2.027287444,0.092607183,0.092995659
1.930904697,0.086614933,0.08547283
1.964584251,0.085990704,0.086002313
2.122215389,0.080876414,0.080475927
2.017885006,0.08731695,0.086592787
2.011173509,0.087368917,0.087918752
2.009676334,0.087793233,0.088160901
1.912175568,0.084534218,0.083970632
1.881739211,0.083354107,0.083681033
1.936661291,0.08598029,0.086156623
1.987370485,0.090277418,0.09050843
1.96754312,0.088390206,0.088914431
1.921309711,0.085207778,0.084953528
2.164652377,0.083774728,0.083968549
1.997918929,0.086208086,0.085983548
1.823729727,0.083710349,0.084572312
2.020002347,0.091449227,0.090797537
2.106552286,0.085484587,0.085441217
2.094061849,0.089404921,0.088926893
1.917930226,0.085766003,0.085578346
2.142817408,0.086458647,0.086480486
2.083452709,0.088627745,0.089641815
1.888347258,0.08357742,0.084580366
2.04161518,0.081902637,0.08211524
2.179093967,0.088225284,0.087710258
1.936801797,0.084229369,0.084680814
2.064520732,0.089406076,0.088897193
1.974764093,0.086601573,0.08608797
1.910397675,0.083521555,0.084104528
2.009594029,0.085841117,0.085611702
1.97614432,0.084221037,0.084039875
2.065340894,0.088469941,0.089054229
2.068268082,0.085651156,0.085421151
1.854463225,0.082623572,0.082732279
1.986900839,0.084080566,0.082119292
1.916366608,0.088137038,0.087422524
2.090962902,0.089585374,0.08985182
1.995192019,0.083482122,0.083106782
1.978764403,0.085320563,0.084944596
1.96990346,0.084689,0.084401528
2.02913305,0.08308498,0.082578186
2.02144737,0.085099669,0.084575714
1.964706845,0.086175749,0.086283894
2.018052628,0.089125552,0.089671603
1.91767046,0.08867377,0.088057675
1.866805885,0.086469331,0.085517055
1.984636927,0.097281757,0.097574508
1.909983406,0.088175196,0.087910849
2.034363355,0.085080976,0.085692335
2.066185592,0.088638294,0.088284393
1.977646021,0.088157535,0.087860612
2.050066669,0.089716363,0.090079487
2.041919633,0.0871765,0.086757852
2.05449579,0.083978575,0.08396133
1.76672699,0.090029599,0.090662943
1.926351912,0.083517389,0.083148234
2.089002499,0.087478062,0.087375777
1.988157023,0.089493089,0.089427486
2.068163468,0.08590658,0.08562392
2.141867864,0.083066041,0.08231453
1.941308905,0.091564946,0.091912654
2.017905447,0.085629087,0.084750902
1.920145757,0.081633138,0.081661306
2.152072649,0.090854188,0.089567863
1.932547147,0.08514508,0.086010868
2.062227295,0.093212581,0.092976826
1.964609147,0.085168922,0.086026186
2.019315466,0.088205957,0.088225243
1.865637435,0.087555695,0.087095585
2.079617116,0.084991937,0.083713303
1.891070948,0.087067358,0.087204745
2.168288297,0.093146964,0.093261078
2.210108251,0.090162836,0.089895988
2.083561653,0.090338784,0.090116443
2.063893025,0.087064224,0.086781548
1.913807976,0.094692732,0.095281546
1.905304136,0.082924543,0.081582536
1.973140877,0.092692856,0.093013997
1.935213848,0.084271458,0.084158796
1.931002113,0.094598602,0.093573275
2.096688017,0.087187986,0.087939023
1.968016808,0.084946593,0.085452013
1.931925313,0.084068647,0.083922652
2.123239696,0.093242978,0.093592413
2.020530021,0.084860876,0.084768845
2.136514997,0.081167571,0.081083564
2.024825304,0.088158283,0.087255646
1.955906692,0.09162596,0.090174136
1.88937174,0.086964962,0.087497028
2.14479936,0.090970448,0.091161265
1.833572732,0.088786894,0.088281974
1.895231976,0.083322796,0.083399738
1.953835723,0.08629465,0.085649883
1.979698602,0.086592942,0.086412249
1.937268114,0.085306834,0.085785521
2.041873195,0.088195426,0.088119749
2.056076048,0.084622259,0.085621585
1.95699817,0.089330381,0.089506415
2.086154778,0.094720065,0.094064964
2.005976892,0.085971442,0.085737762
2.037576697,0.091967631,0.092102981
2.00862866,0.091234037,0.090819603
1.934891106,0.086019609,0.085314122
2.123269426,0.078025294,0.077481891
2.095640898,0.085620154,0.085398666
