"Seed","Est","SE","Est.1","SE.1","Est.0","SE.0"
1,-2.07480420727403,2.37383000140275,-8.31136334721965,2.22901086993977,-6.23655913994562,1.41805056968725
2,-1.09142980751975,1.93286124400269,-7.32798894746537,1.70693742528116,-6.23655913994562,1.41805056968725
3,-2.17036816077423,2.16922009625451,-8.40692730071985,1.91262581621794,-6.23655913994562,1.41805056968725
4,-3.30430186957643,2.45248863187755,-9.54086100952205,2.31070561266776,-6.23655913994562,1.41805056968725
5,-2.04592832625217,1.97028640019125,-8.28248746619779,1.77990338841708,-6.23655913994562,1.41805056968725
6,0.378960982379856,2.2926704017038,-5.85759815756577,2.10999420760049,-6.23655913994562,1.41805056968725
7,-3.25448250527828,2.12784354575356,-9.4910416452239,1.90510780546756,-6.23655913994562,1.41805056968725
8,-2.16160805421287,2.14242348346336,-8.3981671941585,1.89154861355112,-6.23655913994562,1.41805056968725
9,-1.98577055549939,1.90259686577927,-8.22232969544501,1.68576675397439,-6.23655913994562,1.41805056968725
10,-2.16129221488375,2.23728826472644,-8.39785135482937,2.06440900450043,-6.23655913994562,1.41805056968725
11,-2.41088849497702,1.94599633492383,-8.64744763492264,1.68132789400507,-6.23655913994562,1.41805056968725
12,0.545205320241029,2.49439970003911,-5.69135381970459,2.28862922515159,-6.23655913994562,1.41805056968725
13,-0.572852163157398,1.99227051962702,-6.80941130310302,1.76389697752339,-6.23655913994562,1.41805056968725
14,-1.61946948809707,2.15191298733627,-7.85602862804269,1.96419473056877,-6.23655913994562,1.41805056968725
15,3.35518641064122,2.61451757362884,-2.88137272930441,2.446837481374,-6.23655913994562,1.41805056968725
16,-1.48794447722809,2.05173315560949,-7.72450361717371,1.83943044562496,-6.23655913994562,1.41805056968725
17,-1.1885611685839,1.91639464835149,-7.42512030852952,1.64811429904824,-6.23655913994562,1.41805056968725
18,-2.29973203578586,2.87042476929242,-8.53629117573148,2.68806317907587,-6.23655913994562,1.41805056968725
19,-1.79440581979098,2.3991208982742,-8.0309649597366,2.23581839557551,-6.23655913994562,1.41805056968725
20,9.98536676488952,5.91282964179792,3.7488076249439,5.83135324070408,-6.23655913994562,1.41805056968725
21,-0.922125015160499,2.05947868938285,-7.15868415510612,1.85172299428207,-6.23655913994562,1.41805056968725
22,-2.42571919488082,1.91463864661173,-8.66227833482645,1.63766900253984,-6.23655913994562,1.41805056968725
23,-0.669986474313009,2.06618769741304,-6.90654561425863,1.80966084180507,-6.23655913994562,1.41805056968725
24,-1.52442805057672,2.12200312772958,-7.76098719052235,1.93002423653263,-6.23655913994562,1.41805056968725
25,-0.193305676307993,2.56965539313654,-6.42986481625362,2.35792943791684,-6.23655913994562,1.41805056968725
26,-0.836020491647347,3.58574198665013,-7.07257963159297,3.45591968581147,-6.23655913994562,1.41805056968725
27,-2.53030769484134,2.04961855271144,-8.76686683478697,1.81901474736813,-6.23655913994562,1.41805056968725
28,-2.83635495355933,1.87533955622253,-9.07291409350496,1.62176493572263,-6.23655913994562,1.41805056968725
29,-1.28901199841377,1.92593304242048,-7.52557113835939,1.65438428809224,-6.23655913994562,1.41805056968725
30,-2.79882658458749,2.02253186783355,-9.03538572453311,1.77882700903297,-6.23655913994562,1.41805056968725
31,-2.66445311414904,1.93815985756964,-8.90101225409466,1.73619930508612,-6.23655913994562,1.41805056968725
32,-1.47027350826236,2.21043568711417,-7.70683264820798,1.94665581656531,-6.23655913994562,1.41805056968725
33,-2.87020589475122,1.95121477607199,-9.10676503469684,1.70401423385022,-6.23655913994562,1.41805056968725
34,-1.37840903887594,1.92088981268021,-7.61496817882156,1.66217710985567,-6.23655913994562,1.41805056968725
35,-4.57288399737873,3.23410186575173,-10.8094431373244,3.10261808937397,-6.23655913994562,1.41805056968725
36,0.479546346716634,2.46455581927425,-5.75701279322899,2.2717000832674,-6.23655913994562,1.41805056968725
37,-2.67944559199393,2.72734017233514,-8.91600473193955,2.58579568680324,-6.23655913994562,1.41805056968725
38,-3.13041011580684,1.89017601463884,-9.36696925575246,1.66368877159669,-6.23655913994562,1.41805056968725
39,-3.11967061431262,2.12870019241301,-9.35622975425824,1.92285437907198,-6.23655913994562,1.41805056968725
40,-0.499598257822223,3.19988169028275,-6.73615739776784,3.02877611585285,-6.23655913994562,1.41805056968725
41,-2.17422578926601,1.88416952484559,-8.41078492921163,1.58899959604956,-6.23655913994562,1.41805056968725
42,-2.1417967377303,2.07007368158719,-8.37835587767592,1.84013652347009,-6.23655913994562,1.41805056968725
43,-1.62053239597783,2.10850309160707,-7.85709153592346,1.84240780881558,-6.23655913994562,1.41805056968725
44,-1.07013195844981,2.16337306093177,-7.30669109839544,1.95851277957427,-6.23655913994562,1.41805056968725
45,-2.28668055735243,1.94167472225683,-8.52323969729805,1.77812674548217,-6.23655913994562,1.41805056968725
46,-1.46839947930937,2.38437594204846,-7.70495861925499,2.21329829779469,-6.23655913994562,1.41805056968725
47,-3.40111234644584,2.07301118918016,-9.63767148639146,1.82731644392182,-6.23655913994562,1.41805056968725
48,-1.73214449503756,1.96996590410636,-7.96870363498318,1.74315219694413,-6.23655913994562,1.41805056968725
49,0.382272106629479,2.27684524766174,-5.85428703331614,2.07134900335612,-6.23655913994562,1.41805056968725
50,-2.48241124289917,1.89974924001549,-8.71897038284479,1.6660641945429,-6.23655913994562,1.41805056968725
51,-2.23119811269779,2.04348560314747,-8.46775725264341,1.79715300658903,-6.23655913994562,1.41805056968725
52,-2.0030006327931,1.78426679174414,-8.23955977273873,1.53359094244901,-6.23655913994562,1.41805056968725
53,-1.69210633834296,1.90118443559967,-7.92866547828858,1.68610880466618,-6.23655913994562,1.41805056968725
54,-2.6137495698132,2.02129101025516,-8.85030870975882,1.82576622234105,-6.23655913994562,1.41805056968725
